Loan_Product_ID,Loan_Type,Interest_Type,Minimum_Interest,Maximum_Interest,Minimum_Term,Maximum_Term,Minimum_Amount,Maximum_Amount,Collateral_Required
LP001,Home Loan,Fixed,8.0,10.5,120,360,500000,10000000,Yes
LP002,Personal Loan,Fixed,11.0,18.0,12,60,50000,4000000,No
LP003,Car Loan,Fixed,8.5,12.0,12,84,100000,3000000,Yes
LP004,Education Loan,Floating,7.5,11.0,12,120,100000,5000000,Optional
LP005,Gold Loan,Fixed,8.0,14.0,6,36,25000,5000000,Yes
LP006,Business Loan,Floating,10.0,16.0,12,180,200000,20000000,Yes
LP007,Agriculture Loan,Floating,6.0,10.0,12,120,50000,10000000,Optional
LP008,MSME Loan,Floating,9.0,15.0,12,120,100000,15000000,Yes
LP009,Home Loan,Fixed,8.0,10.5,120,360,500000,10000000,Yes
LP010,Personal Loan,Fixed,11.0,18.0,12,60,50000,4000000,No
LP011,Car Loan,Fixed,8.5,12.0,12,84,100000,3000000,Yes
LP012,Education Loan,Floating,7.5,11.0,12,120,100000,5000000,Optional
LP013,Gold Loan,Fixed,8.0,14.0,6,36,25000,5000000,Yes
LP014,Business Loan,Floating,10.0,16.0,12,180,200000,20000000,Yes
LP015,Agriculture Loan,Floating,6.0,10.0,12,120,50000,10000000,Optional
LP016,MSME Loan,Floating,9.0,15.0,12,120,100000,15000000,Yes
LP017,Home Loan,Fixed,8.0,10.5,120,360,500000,10000000,Yes
LP018,Personal Loan,Fixed,11.0,18.0,12,60,50000,4000000,No
LP019,Car Loan,Fixed,8.5,12.0,12,84,100000,3000000,Yes
LP020,Education Loan,Floating,7.5,11.0,12,120,100000,5000000,Optional
LP021,Gold Loan,Fixed,8.0,14.0,6,36,25000,5000000,Yes
LP022,Business Loan,Floating,10.0,16.0,12,180,200000,20000000,Yes
LP023,Agriculture Loan,Floating,6.0,10.0,12,120,50000,10000000,Optional
LP024,MSME Loan,Floating,9.0,15.0,12,120,100000,15000000,Yes
LP025,Home Loan,Fixed,8.0,10.5,120,360,500000,10000000,Yes
LP026,Personal Loan,Fixed,11.0,18.0,12,60,50000,4000000,No
LP027,Car Loan,Fixed,8.5,12.0,12,84,100000,3000000,Yes
LP028,Education Loan,Floating,7.5,11.0,12,120,100000,5000000,Optional
LP029,Gold Loan,Fixed,8.0,14.0,6,36,25000,5000000,Yes
LP030,Business Loan,Floating,10.0,16.0,12,180,200000,20000000,Yes
LP031,Agriculture Loan,Floating,6.0,10.0,12,120,50000,10000000,Optional
LP032,MSME Loan,Floating,9.0,15.0,12,120,100000,15000000,Yes
LP033,Home Loan,Fixed,8.0,10.5,120,360,500000,10000000,Yes
LP034,Personal Loan,Fixed,11.0,18.0,12,60,50000,4000000,No
LP035,Car Loan,Fixed,8.5,12.0,12,84,100000,3000000,Yes
LP036,Education Loan,Floating,7.5,11.0,12,120,100000,5000000,Optional
LP037,Gold Loan,Fixed,8.0,14.0,6,36,25000,5000000,Yes
LP038,Business Loan,Floating,10.0,16.0,12,180,200000,20000000,Yes
LP039,Agriculture Loan,Floating,6.0,10.0,12,120,50000,10000000,Optional
LP040,MSME Loan,Floating,9.0,15.0,12,120,100000,15000000,Yes
